Function_id	Function_name	Number_pathway	Pathway_ids	Pathway_names
K01086	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	5	ko00010 & ko00030 & ko00051 & ko00710 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Methane metabolism
K04041	fructose-1,6-bisphosphatase III [EC:3.1.3.11]	5	ko00010 & ko00030 & ko00051 & ko00710 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Methane metabolism
K01623	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	5	ko00010 & ko00030 & ko00051 & ko00710 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Methane metabolism
K11645	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	5	ko00010 & ko00030 & ko00051 & ko00710 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Methane metabolism
K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	5	ko00010 & ko00030 & ko00051 & ko00710 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Methane metabolism
K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	4	ko00010 & ko00030 & ko00051 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Methane metabolism
K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	5	ko00010 & ko00030 & ko00051 & ko00680 & ko00400	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis
K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	5	ko00010 & ko00030 & ko00051 & ko00680 & ko00400	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pentose phosphate pathway & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis
K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]	4	ko00010 & ko00051 & ko00562 & ko00710	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism & Metabolism;Carbohydrate metabolism;Inositol phosphate metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	2	ko00010 & ko00710	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K10705	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic [EC:1.2.1.12]	1	ko00010	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis
K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]	2	ko00010 & ko00710	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K00927	phosphoglycerate kinase [EC:2.7.2.3]	2	ko00010 & ko00710	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms
K01834	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	3	ko00010 & ko00680 & ko00260	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K15634	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	3	ko00010 & ko00680 & ko00260	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K15633	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	3	ko00010 & ko00680 & ko00260	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K15635	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	3	ko00010 & ko00680 & ko00260	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism
K01689	enolase 1/2/3 [EC:4.2.1.11]	2	ko00010 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Energy metabolism;Methane metabolism
K27394	enolase 4 [EC:4.2.1.11]	1	ko00010	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis
K00873	pyruvate kinase [EC:2.7.1.40]	2	ko00010 & ko00620	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K12406	pyruvate kinase isozymes R/L [EC:2.7.1.40]	2	ko00010 & ko00620	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K01006	pyruvate, orthophosphate dikinase [EC:2.7.9.1]	4	ko00010 & ko00620 & ko00710 & ko00720	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes
K01007	pyruvate, water dikinase [EC:2.7.9.2]	4	ko00010 & ko00620 & ko00720 & ko00680	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes & Metabolism;Energy metabolism;Methane metabolism
K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	4	ko00010 & ko00020 & ko00620 & ko00785	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Metabolism of cofactors and vitamins;Lipoic acid metabolism
K00161	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	4	ko00010 & ko00020 & ko00620 & ko00785	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Metabolism of cofactors and vitamins;Lipoic acid metabolism
K00162	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	4	ko00010 & ko00020 & ko00620 & ko00785	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Metabolism of cofactors and vitamins;Lipoic acid metabolism
K00627	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	4	ko00010 & ko00020 & ko00620 & ko00785	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Metabolism of cofactors and vitamins;Lipoic acid metabolism
K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	10	ko00010 & ko00020 & ko00620 & ko00630 & ko00640 & ko00260 & ko00280 & ko00310 & ko00380 & ko00785	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Glyoxylate and dicarboxylate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation & Metabolism;Amino acid metabolism;Lysine degradation & Metabolism;Amino acid metabolism;Tryptophan metabolism & Metabolism;Metabolism of cofactors and vitamins;Lipoic acid metabolism
K13997	dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex	3	ko00010 & ko00020 & ko00620	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K00169	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	8	ko00010 & ko00020 & ko00620 & ko00640 & ko00650 & ko00720 & ko00680 & ko00633	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Nitrotoluene degradation
K00170	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	8	ko00010 & ko00020 & ko00620 & ko00640 & ko00650 & ko00720 & ko00680 & ko00633	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Nitrotoluene degradation
K00172	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	8	ko00010 & ko00020 & ko00620 & ko00640 & ko00650 & ko00720 & ko00680 & ko00633	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Nitrotoluene degradation
K00189	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]	9	ko00010 & ko00020 & ko00620 & ko00640 & ko00650 & ko00720 & ko00680 & ko00280 & ko00633	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Amino acid metabolism;Valine, leucine and isoleucine degradation & Metabolism;Xenobiotics biodegradation and metabolism;Nitrotoluene degradation
K00171	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	8	ko00010 & ko00020 & ko00620 & ko00640 & ko00650 & ko00720 & ko00680 & ko00633	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Nitrotoluene degradation
K03737	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	5	ko00010 & ko00020 & ko00620 & ko00650 & ko00720	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	5	ko00010 & ko00020 & ko00620 & ko00650 & ko00720	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	5	ko00010 & ko00020 & ko00620 & ko00650 & ko00720	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle) & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Energy metabolism;Carbon fixation pathways in prokaryotes
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	4	ko00010 & ko00620 & ko00640 & ko00270	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Propanoate metabolism & Metabolism;Amino acid metabolism;Cysteine and methionine metabolism
K01568	pyruvate decarboxylase [EC:4.1.1.1]	1	ko00010	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis
K13951	alcohol dehydrogenase 1/7 [EC:1.1.1.1]	7	ko00010 & ko00620 & ko00071 & ko00350 & ko00830 & ko00980 & ko00982	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tyrosine metabolism & Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450 & Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450
K13980	alcohol dehydrogenase 4 [EC:1.1.1.1]	7	ko00010 & ko00620 & ko00071 & ko00350 & ko00830 & ko00980 & ko00982	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tyrosine metabolism & Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450 & Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	10	ko00010 & ko00620 & ko00680 & ko00071 & ko00350 & ko00830 & ko00625 & ko00626 & ko00980 & ko00982	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Energy metabolism;Methane metabolism & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tyrosine metabolism & Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Naphthalene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450 & Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450
K13952	alcohol dehydrogenase 6 [EC:1.1.1.1]	7	ko00010 & ko00620 & ko00071 & ko00350 & ko00830 & ko00980 & ko00982	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tyrosine metabolism & Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450 & Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450
K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	7	ko00010 & ko00620 & ko00650 & ko00071 & ko00350 & ko00625 & ko00626	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Carbohydrate metabolism;Butanoate metabolism & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tyrosine metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Naphthalene degradation
K13953	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	9	ko00010 & ko00620 & ko00071 & ko00350 & ko00830 & ko00625 & ko00626 & ko00980 & ko00982	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis & Metabolism;Carbohydrate metabolism;Pyruvate metabolism & Metabolism;Lipid metabolism;Fatty acid degradation & Metabolism;Amino acid metabolism;Tyrosine metabolism & Metabolism;Metabolism of cofactors and vitamins;Retinol metabolism & Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Naphthalene degradation & Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450 & Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450
