classification	db_link	observation_name	observation_sum	BHT0.LOT01	BHT0.LOT03	BHT0.LOT04	BHT0.LOT05	BHT0.LOT06	BHT0.LOT07	BHT0.LOT08	BHT0.LOT10	CDT0.LOT02	CDT0.LOT04	CDT0.LOT05	CDT0.LOT06	CDT0.LOT07	CDT0.LOT08	CDT0.LOT09	CDT0.LOT10	DLT0.LOT01	DLT0.LOT03	DLT0.LOT04	DLT0.LOT05	DLT0.LOT06	DLT0.LOT07	DLT0.LOT08	DLT0.LOT10	FCT0.LOT01	FCT0.LOT02	FCT0.LOT03	FCT0.LOT05	FCT0.LOT06	FCT0.LOT07	FCT0.LOT08	FCT0.LOT10	FST0.LOT01	FST0.LOT02	FST0.LOT03	FST0.LOT05	FST0.LOT06	FST0.LOT07	FST0.LOT08	FST0.LOT10	MVT0.LOT01	MVT0.LOT03	MVT0.LOT05	MVT0.LOT06	MVT0.LOT07	MVT0.LOT08	MVT0.LOT09	MVT0.LOT10	SFT0.LOT01	SFT0.LOT02	SFT0.LOT03	SFT0.LOT04	SFT0.LOT05	SFT0.LOT06	SFT0.LOT07	SFT0.LOT08	VHT0.LOT01	VHT0.LOT02	VHT0.LOT03	VHT0.LOT04	VHT0.LOT06	VHT0.LOT07	VHT0.LOT08	VHT0.LOT10
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;UDP-glucose 6-dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.22	EC:1.1.1.22	46957.200000000004	149.67	1251.67	266.83	346.0	189.17	121.33	299.83	86.5	2532.17	380.0	1334.17	347.3300000000001	5612.0	122.33	1925.0	3516.0	49.0	29.0	107.17	150.67	106.83	501.17	42.67	287.83	2005.67	159.83	61.17	141.17000000000004	90.5	105.0	1594.17	118.0	3280.67	792.6700000000002	808.67	781.67	1791.0	2369.83	3124.67	3144.83	77.67	219.67	384.83	851.5	532.5	201.0	123.5	17.0	1118.83	204.0	298.17	133.17000000000002	128.32999999999998	742.83	999.0	680.83	8.67	6.67	55.17	10.0	12.0	12.0	7.0	9.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Histidinol dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.23	EC:1.1.1.23	167784.7	4269.67	2365.17	2693.33	4387.5	4829.67	3679.33	3198.83	4022.5	2603.67	469.5	1666.17	698.3299999999998	5650.5	1085.33	1947.5	3574.5	6007.0	6440.0	747.67	4474.17	4213.83	1770.67	5285.17	2881.33	2807.67	297.3300000000001	68.17	194.17	638.0	194.5	2635.17	151.0	4666.17	1054.67	1044.67	1056.17	3170.0	5455.83	4715.17	3917.83	192.17	348.17	488.33	965.0	719.0	286.5	230.0	36.0	1219.33	1862.0	3216.17	2129.17	1671.83	749.83	1188.0	1179.33	7063.17	4321.67	2991.17	4632.5	3131.5	6277.5	7353.0	4505.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Shikimate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.25	EC:1.1.1.25	218926.69999999998	4638.67	2451.67	2789.83	4610.5	4946.67	3878.83	3337.83	4133.5	3759.67	573.8	1690.17	757.6299999999999	5653.2	2205.83	1950.9	3582.5	6021.0	6446.5	849.67	4612.67	4299.33	1941.67	5313.17	2999.33	2906.67	432.83	3033.17	2450.17	753.0	2735.5	2734.67	246.5	4738.67	2736.67	2643.67	2552.17	3195.0	5530.83	4735.67	3940.83	3421.17	3505.67	1191.83	2169.0	1006.5	1654.0	4982.0	6767.0	1325.33	4629.0	4332.17	4918.17	5514.83	760.83	1926.0	1270.33	7141.17	4339.17	3119.17	4691.4	3162.9	6323.5	7414.5	4550.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;sn-glycerol-1-phosphate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.261	EC:1.1.1.261	59822.0	292.0	2502.0	526.0	654.0	360.0	236.0	586.0	172.0	2532.0	384.0	1507.0	550.0	5617.0	123.0	1924.0	3593.0	98.0	52.0	210.0	296.0	138.0	860.0	84.0	574.0	0.0	46.0	26.0	116.0	86.0	122.0	128.0	74.0	6530.0	1306.0	1446.0	1352.0	2610.0	4568.0	6136.0	6254.0	142.0	432.0	756.0	1692.0	420.0	380.0	244.0	26.0	6.0	346.0	68.0	210.0	172.0	2.0	28.0	32.0	6.0	12.0	108.0	12.0	18.0	18.0	6.0	16.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;4-hydroxythreonine-4-phosphate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.262	EC:1.1.1.262	94259.20000000001	794.67	402.67	436.83	930.0	1241.17	656.33	447.83	2621.5	64.17	78.0	269.17	311.33	22.0	894.33	20.0	30.0	5958.0	6392.0	638.17	4314.67	4132.83	1310.17	5241.67	2367.83	2804.67	250.83	54.17	134.17000000000002	581.5	128.0	2559.17	113.0	1046.67	196.67	183.67	242.67	673.0	2559.83	782.67	254.83	76.67	99.67	63.83	60.5	470.5	56.0	13.5	8.0	1157.83	852.0	2595.17	624.17	710.33	744.83	1019.0	1035.83	6613.67	3095.67	1105.17	3800.0	2013.0	5987.0	6745.0	3171.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;1-deoxy-D-xylulose-5-phosphate reductoisomerase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.267	EC:1.1.1.267	148919.2	3348.67	2256.67	2071.83	3472.0	4012.17	2992.33	2719.83	3366.5	2602.17	460.0	1618.17	649.3299999999998	5642.0	1078.33	1944.0	3549.0	6007.0	6437.0	746.17	4467.67	4173.83	1690.17	5283.67	2825.83	812.67	293.8300000000001	67.17	182.17	593.5	153.0	1188.17	141.0	4458.67	870.67	956.67	954.67	2018.0	5092.83	3886.67	3405.83	175.67000000000004	335.67	471.83	909.5	675.5	273.0	146.5	22.0	1203.83	1516.0	2951.17	1464.17	1244.33	748.83	1117.0	1099.83	6820.67	3734.67	2055.17	4016.0	2728.0	6107.0	7079.0	3534.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;L-lactate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.27	EC:1.1.1.27	504333.5	9313.0	6463.0	5672.0	9526.5	10511.5	7835.5	6944.0	10329.0	5049.5	914.6	2619.0	1848.1	5718.4	5196.5	1994.3	3807.5	18049.0	19304.5	2435.5	13676.0	12684.5	5403.5	15909.5	8598.5	2698.0	727.0	8921.0	7078.0	1987.5	7999.5	3501.5	401.5	13581.0	5830.0	5906.0	5685.5	5779.0	15388.0	12385.0	10711.0	6963.5	7308.0	2796.0	5180.5	1693.0	3525.0	10017.5	13542.0	448.5	9844.0	10236.0	9824.0	11275.5	41.0	1859.0	1518.5	20643.5	11192.5	6467.0	12569.8	7938.3	18466.5	21295.5	11305.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;D-lactate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.28	EC:1.1.1.28	128118.7	4950.67	613.17	3182.33	4734.5	4147.67	3637.33	2505.83	3379.5	2319.67	110.1	240.17	279.93	44.9	2237.33	15.3	135.5	14.0	7.0	106.67	163.17	137.82999999999998	290.67	33.17	393.33	2007.67	284.3300000000001	85.17	104.17	169.0	115.5	1638.17	179.0	1031.17	2191.67	1843.67	1708.17	6186.0	1552.83	3938.17	2543.83	3284.17	3207.17	769.33	1463.0	781.0	1396.5	5161.0	6776.0	1299.33	4528.0	2705.17	6106.17	6002.83	757.83	2078.0	1153.33	1276.17	2951.67	4800.17	3120.3	2038.3	886.5	1415.0	4903.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;S-(hydroxymethyl)glutathione dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.284	EC:1.1.1.284	10444.4	7.34	1.34	7.66	6.0	6.34	6.66	9.66	1.0	0.34	0.0	0.34	0.66	0.0	0.66	0.0	0.0	0.0	0.0	2.34	1.34	1.66	2.34	1.34	1.66	21.34	271.66	96.34	142.34	9.0	6.0	170.34	144.0	7.34	59.34	59.34	51.34	940.0	11.66	3.34	13.66	1.34	1.34	5.66	3.0	627.0	6.0	1.0	0.0	2231.66	62.0	528.34	42.34	76.66	1483.66	1970.0	1329.66	3.34	1.34	2.34	0.0	0.0	0.0	0.0	2.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Glycerate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.29	EC:1.1.1.29	90071.20000000001	794.67	402.67	436.83	914.0	1235.17	656.33	445.83	2621.5	64.17	77.0	263.17	302.33	22.0	894.33	19.0	30.0	5958.0	6389.0	637.17	4312.67	4095.83	1240.17	5241.67	2367.83	809.67	249.83	54.17	122.17	538.5	87.0	1114.17	104.0	1034.67	86.67	127.67	162.67000000000004	657.0	2479.83	727.67	243.83	70.67	96.67	59.83	56.5	461.5	48.0	12.5	4.0	1157.83	852.0	2595.17	617.17	706.33	744.83	1019.0	1035.83	6609.67	3095.67	1105.17	3796.0	2010.0	5984.0	6741.0	3171.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;4-phosphoerythronate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.290	EC:1.1.1.290	5222.2	3.67	0.67	3.83	3.0	3.17	3.33	4.83	0.5	0.17	0.0	0.17	0.33	0.0	0.33	0.0	0.0	0.0	0.0	1.17	0.67	0.83	1.17	0.67	0.83	10.67	135.83	48.17	71.17	4.5	3.0	85.17	72.0	3.67	29.67	29.67	25.67	470.0	5.83	1.67	6.83	0.67	0.67	2.83	1.5	313.5	3.0	0.5	0.0	1115.83	31.0	264.17	21.17	38.33	741.83	985.0	664.83	1.67	0.67	1.17	0.0	0.0	0.0	0.0	1.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Homoserine dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.3	EC:1.1.1.3	181382.90000000002	4273.34	2365.84	2697.16	4422.5	4844.84	3682.66	3207.66	4023.0	2603.84	471.5	1678.34	716.6600000000002	5650.5	1085.66	1949.5	3574.5	6007.0	6446.0	750.84	4478.84	4288.66	1911.84	5285.84	2882.16	6808.34	435.16	116.34	289.3400000000001	728.5	279.5	5610.34	241.0	4693.84	1304.34	1186.34	1241.84	3672.0	5621.66	4826.84	3946.66	204.84	354.8400000000001	499.16	974.5	1050.5	305.5	232.5	44.0	2335.16	1893.0	3480.34	2164.34	1718.16	1491.66	2173.0	1844.16	7072.84	4322.34	2992.34	4640.5	3137.5	6283.5	7361.0	4506.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Diacetyl reductase ((R)-acetoin forming)	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.303	EC:1.1.1.303	114798.5	1712.0	510.5	1054.5	1810.5	2043.5	1340.0	918.0	3277.0	2597.5	459.5	1454.0	468.0	5637.5	1022.0	1945.5	3494.5	5958.0	6389.0	636.5	4316.5	4098.0	1249.5	5242.5	2422.5	799.0	116.5	7.0	51.0	535.5	84.5	1031.0	33.0	1226.5	131.0	130.0	158.5	1323.0	2757.0	1499.5	738.0	80.5	105.5	69.5	106.5	182.5	50.5	94.5	14.0	57.5	1167.0	2596.0	1254.0	1091.5	4.0	105.0	450.5	6846.5	3682.0	2040.0	4408.5	2410.5	6151.5	7011.0	4141.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;Diacetyl reductase ((S)-acetoin forming)	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.304	EC:1.1.1.304	157220.0	2975.0	689.0	1747.0	2928.0	2936.0	2226.0	1509.0	4032.0	1223.0	128.8	371.0	437.8	41.2	2010.0	25.4	89.0	5972.0	6393.0	739.0	4459.0	4186.0	1427.0	5269.0	2593.0	801.0	254.0	40.0	72.0	651.0	154.0	1131.0	127.0	1460.0	1887.0	1760.0	1675.0	2479.0	3092.0	2287.0	1260.0	3316.0	3271.0	782.0	1358.0	503.0	1414.0	4924.0	6746.0	179.0	4280.0	3977.0	4700.0	5358.0	16.0	914.0	621.0	7163.0	4285.0	3095.0	5074.4	2842.4	6365.0	7342.0	5158.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;3-hydroxyisobutyrate dehydrogenase	https://www.genome.jp/dbget-bin/www_bget?EC:1.1.1.31	EC:1.1.1.31	177191.69999999998	4492.67	1200.67	2526.83	4267.5	4760.67	3760.83	3042.83	4047.5	1227.67	193.8	356.17	410.63	41.2	2083.83	25.9	66.5	5972.0	6417.5	743.67	4462.67	4193.33	1441.67	5271.17	2712.33	911.67	408.83	3020.17	2380.17	667.0	2633.5	1225.67	200.5	1461.67	1973.67	1864.67	1796.17	1874.0	3166.83	1612.67	802.83	3344.17	3286.67	809.83	1319.0	787.5	1456.0	4859.0	6750.0	1322.33	4456.0	4298.17	4806.17	5424.83	759.83	1912.0	1254.33	7134.17	4333.17	3065.17	4681.4	3150.9	6311.5	7407.5	4542.5
