level1	level2	level3	Name	gene_family
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase subunit 6 (chain J)	COG0839
Energy production and conversion	NA	NA	Cyanobacterial/chloroplast membrane protein Tic20/Ycf60, involved in chloroplast protein import	COG5769
Energy production and conversion	TCA cycle	NA	Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain	COG1838
Energy production and conversion	NA	NA	Uncharacterized cyanobacterial/chloroplast protein Pro0776, algal eyespot protein with methylated Arg, DUF1350 (PF07082) domain	COG5771
Energy production and conversion	NA	NA	Ni,Fe-hydrogenase I cytochrome b subunit	COG1969
Energy production and conversion	NA	NA	L-lactate utilization protein LutB, contains a ferredoxin-type domain	COG1139
Energy production and conversion	NA	NA	Phycocyanobilin:ferredoxin oxidoreductase	COG5692
Energy production and conversion	NA	NA	Phycobilisome linker ApcECpcD fusion protein	COG5694
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome c biogenesis protein ResB	COG1333
Energy production and conversion	NA	NA	Ni/Fe-hydrogenase 2 integral membrane subunit HybB	COG5557
Energy production and conversion	NA	NA	TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit	COG4231
Energy production and conversion	NA	NA	Azurin	COG3241
Energy production and conversion	Photosystem II	NA	Photosystem II reaction center protein M, PsbM	COG5727
Energy production and conversion	Pyruvate oxidation	NA	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit	COG0674
Energy production and conversion	NA	NA	Cytochrome bd-type quinol oxidase, subunit 1	COG1271
Energy production and conversion	NA	NA	Butyrate kinase	COG3426
Energy production and conversion	NA	NA	NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific auxiliary subunit CRR7	COG5791
Energy production and conversion	Na+-translocating Fd:NADH oxidoreductase	NA	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit	COG4656
Energy production and conversion; Signal transduction mechanisms	NA	NA	Cyanobacterial/chloroplast FeS cluster protein Ycf34, regulator of photosynthetic electron transport, PF10718 domain	COG5764
Energy production and conversion	NA	NA	2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)	COG2828
Energy production and conversion	Photosystem I	NA	Photosystem I reaction center subunit XII, PsaM	COG5711
Energy production and conversion; Coenzyme transport and metabolism; General function prediction only	Pyridoxal phosphate biosynthesis	NA	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	COG1052
Energy production and conversion	NA	NA	Cytochrome b6f complex subunit VII, PetM/Ycf31	COG5682
Energy production and conversion	FoF1-type ATP synthase	NA	FoF1-type ATP synthase, beta subunit	COG0055
Energy production and conversion	NA	NA	Thylakoid acid phosphatase, contains TAP/TPM domain	COG5779
Energy production and conversion	NA	NA	Energy-converting hydrogenase Eha subunit F	COG4037
Energy production and conversion	Urea cycle	NA	Malic enzyme	COG0281
Energy production and conversion	NA	NA	Glutathionyl-hydroquinone reductase	COG0435
Energy production and conversion	A/V-type ATP synthase	NA	Archaeal/vacuolar-type H+-ATPase subunit H	COG2811
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)	COG1894
Energy production and conversion	NA	NA	Ferredoxin-thioredoxin reductase, catalytic subunit	COG4802
Energy production and conversion	NA	NA	Coenzyme F420-reducing hydrogenase, delta subunit	COG1908
Energy production and conversion	NADH dehydrogenase	NA	Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	COG1009
Energy production and conversion	A/V-type ATP synthase	NA	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4	COG1390
Energy production and conversion	NA	NA	Uncharacterized cyanobacterial/plant protein Pro1025, DUF3531 (PF12049) domain	COG5784
Energy production and conversion	NA	NA	Na+ or H+-translocating membrane pyrophosphatase	COG3808
Energy production and conversion	NA	NA	Acylphosphatase	COG1254
Energy production and conversion	NA	NA	Cytochrome b6f complex subunit VI, PetL/Ycf7	COG5681
Energy production and conversion	NA	NA	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit N	COG5673
Energy production and conversion; Signal transduction mechanisms	NA	NA	Fusion of CP12 with N-terminal CBS domain pair	COG5792
Energy production and conversion	NA	NA	Acetamidase/formamidase	COG2421
Energy production and conversion	TCA cycle	NA	Succinyl-CoA synthetase, alpha subunit	COG0074
Energy production and conversion	NA	NA	CO dehydrogenase/acetyl-CoA synthase epsilon subunit	COG1880
Energy production and conversion	NA	NA	FMN-dependent NADH-azoreductase	COG1182
Energy production and conversion	NA	NA	Heterodisulfide reductase, subunit C	COG1150
Energy production and conversion	NA	NA	Ni,Fe-hydrogenase III large subunit	COG3261
Energy production and conversion	NA	NA	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO	COG2993
Energy production and conversion	NA	NA	Cyanobacterial/chloroplast protein CP12, regulates Calvin cycle by forming a complex with GAPDH and phosphoribulokinase	COG5761
Energy production and conversion	Photosystem I	NA	Photosystem I assembly protein Ycf4	COG5712
Energy production and conversion	A/V-type ATP synthase	NA	Archaeal/vacuolar-type H+-ATPase subunit C/Vma6	COG1527
Energy production and conversion	Photosystem II	NA	Photosystem II biogenesis protein Psb29 (thylakoid formation protein THF1)	COG5740
Energy production and conversion	TCA cycle, glyoxylate bypass	NA	Malate synthase	COG2225
Energy production and conversion	NA	NA	Citrate lyase synthetase CitC	COG3053
Energy production and conversion	NA	NA	L-lactate permease	COG1620
Energy production and conversion	TCA cycle	NA	Succinyl-CoA synthetase, beta subunit	COG0045
Energy production and conversion; General function prediction only	NA	NA	NADPH:quinone reductase or related Zn-dependent oxidoreductase	COG0604
Energy production and conversion; Signal transduction mechanisms	NA	NA	Cyanobacterial response regulator with REC-Ycf55 domain architecture	COG5768
Energy production and conversion; Amino acid transport and metabolism	NA	NA	Carbon starvation protein CstA (peptide/pyruvate transporter)	COG1966
Energy production and conversion; Inorganic ion transport and metabolism	NA	NA	Nitrate reductase alpha subunit	COG5013
Energy production and conversion	Photosystem II	NA	Photosystem II reaction center 11 kD protein, Psb27	COG5736
Energy production and conversion	NA	NA	Phycocyanobilin lyase CpeT/CpcT	COG5691
Energy production and conversion; Inorganic ion transport and metabolism	NA	NA	ABC-type Na+ efflux pump, permease component NatB	COG1668
Energy production and conversion	Photosystem II	NA	Photosystem II 12 kDa extrinsic protein PsbU	COG5737
Energy production and conversion	NA	NA	Energy-converting hydrogenase Eha subunit H	COG4078
Energy production and conversion	NA	NA	Energy-converting hydrogenase Eha subunit G	COG4036
Energy production and conversion	NA	NA	Energy-converting hydrogenase Eha subunit E	COG4038
Energy production and conversion; Inorganic ion transport and metabolism	NA	NA	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	COG0651
Energy production and conversion	NA	NA	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	COG1902
Energy production and conversion	NA	NA	Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC	COG3181
Energy production and conversion	NA	NA	Energy-converting hydrogenase Eha subunit B	COG4041
Energy production and conversion	NA	NA	Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase	COG0655
Energy production and conversion	Na+-translocating NADH dehydrogenase	NA	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC	COG2869
Energy production and conversion	NA	NA	Heme/copper-type cytochrome/quinol oxidase, subunit 1	COG0843
Energy production and conversion	NA	NA	Cytochrome b subunit of the bc complex	COG1290
Energy production and conversion	NA	NA	C4-dicarboxylate transporter DcuC	COG3069
Energy production and conversion	NA	NA	Chloroplast senescence-associated protein CSAP, DUF1997 (PF09366) domain	COG5783
Energy production and conversion	Na+-translocating NADH dehydrogenase	NA	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF	COG2871
Energy production and conversion	NA	NA	NADH dehydrogenase, FAD-containing subunit	COG1252
Energy production and conversion	NA	NA	Na+-translocating membrane potential-generating system subunit MpsC, DUF2294 family	COG5609
Energy production and conversion	NA	NA	Electron transfer flavoprotein, alpha subunit FixB	COG2025
Energy production and conversion	NA	NA	Na+/H+-dicarboxylate symporter	COG1301
Energy production and conversion	TCA cycle	NA	Monomeric isocitrate dehydrogenase	COG2838
Energy production and conversion	NA	NA	DMSO reductase anchor subunit DmsC	COG3302
Energy production and conversion	Photosystem II	NA	Photosystem II reaction center chlorophyll a-binding protein CP43, PsbC	COG5718
Energy production and conversion	NA	NA	Succinate dehydrogenase, hydrophobic anchor subunit	COG2142
Energy production and conversion	TCA cycle	NA	Fumarate hydratase class II	COG0114
Energy production and conversion	TCA cycle, glyoxylate bypass	NA	Isocitrate lyase	COG2224
Energy production and conversion	NA	NA	Uncharacterized cyanobacterial/plant protein PM23 (seed maturation protein), contains DUF760 (PF05542) domain	COG5762
Energy production and conversion	Pyruvate oxidation	NA	Pyruvate-formate lyase	COG1882
Energy production and conversion	Non-phosphorylated Entner-Doudoroff pathway	NA	Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit	COG1529
Energy production and conversion	NA	NA	Inorganic pyrophosphatase/exopolyphosphatase	COG1227
Energy production and conversion	Urea cycle	NA	Pyruvate/oxaloacetate carboxyltransferase	COG5016
Energy production and conversion	NA	NA	Ferredoxin	COG0633
Energy production and conversion	A/V-type ATP synthase	NA	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2	COG1156
Energy production and conversion	Na+-translocating NADH dehydrogenase	NA	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD	COG1347
Energy production and conversion	NA	NA	Allophycocyanin alpha chain	COG5684
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components	COG4987
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase NDUFA12 subunit (Leigh syndrome)	COG3761
Energy production and conversion	NA	NA	F420-dependent methylenetetrahydromethanopterin dehydrogenase	COG1927
Energy production and conversion	NA	NA	Mg2+/citrate symporter	COG2851
Energy production and conversion	NA	NA	Polyferredoxin NapH	COG0348
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase subunit 1 (chain H)	COG1005
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	COG1008
Energy production and conversion	NA	NA	Rieske Fe-S protein	COG0723
Energy production and conversion	NA	NA	Propionyl CoA:succinate CoA transferase	COG0427
Energy production and conversion	NA	NA	Flavorubredoxin	COG0426
Energy production and conversion	NA	NA	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit	COG2009
Energy production and conversion	NA	NA	Energy-converting hydrogenase Eha subunit C	COG4040
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase subunit 3 (chain A)	COG0838
Energy production and conversion	Photosystem I	NA	Photosystem I reaction center subunit II, PsaD	COG5704
Energy production and conversion	NA	NA	Cytochrome c551/c552	COG4654
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	Na+-translocating NADH dehydrogenase	NA	Na+-NQR maturation protein NqrM	COG2991
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome c oxidase assembly protein CtaG	COG3336
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	COG1905
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome c biogenesis protein CcmF	COG1138
Energy production and conversion	NA	NA	Phosphoglycolate phosphatase, HAD superfamily	COG0546
Energy production and conversion	NA	NA	Ni,Fe-hydrogenase III small subunit	COG3260
Energy production and conversion	TCA cycle	NA	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family	COG2055
Energy production and conversion	Na+-translocating Fd:NADH oxidoreductase	NA	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit	COG4658
Energy production and conversion	NA	NA	Inorganic pyrophosphatase	COG0221
Energy production and conversion	NA	NA	Alcohol dehydrogenase, class IV	COG1454
Energy production and conversion	NA	NA	Zn-dependent glyoxalase, PhnB family	COG2764
Energy production and conversion	Photosystem II	NA	Photosystem II reaction center chlorophyll a-binding protein CP47, PsbB	COG5717
Energy production and conversion	TCA cycle	NA	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	COG0479
Energy production and conversion; Posttranslational modification, protein turnover, chaperones; Inorganic ion transport and metabolism	NA	NA	Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor	COG2180
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)	COG0852
Energy production and conversion	NA	NA	Cyanobacterial/chloroplast protein Ycf20, involved in dissipation of absorbed light energy, DUF565 (PF04483) domain	COG5763
Energy production and conversion	NA	NA	Heme/copper-type cytochrome/quinol oxidase, subunit 3	COG1845
Energy production and conversion	NA	NA	Cyanobacterial/red algae cytochrome b6f complex subunit PetP (= Ycf86), DUF2862 (PF11061) family	COG5760
Energy production and conversion	NA	NA	Coenzyme F420-reducing hydrogenase, beta subunit	COG1035
Energy production and conversion	A/V-type ATP synthase	NA	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	COG1155
Energy production and conversion	A/V-type ATP synthase	NA	Archaeal/vacuolar-type H+-ATPase subunit I/STV1	COG1269
Energy production and conversion	Photosystem II	NA	Photosystem II reaction center protein N, PsbN	COG5728
Energy production and conversion	TCA cycle	NA	Malate/lactate dehydrogenase	COG0039
Energy production and conversion	NA	NA	Acyl-CoA synthetase (NDP forming)	COG1042
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome c biogenesis protein CcmE	COG2332
Energy production and conversion	Pyruvate oxidation	NA	Pyruvate dehydrogenase complex, dehydrogenase (E1) component	COG2609
Energy production and conversion	NA	NA	Ferredoxin-like protein FixX	COG2440
Energy production and conversion	Pyrimidine degradation	NA	FMN reductase RutF, DIM6/NTAB family	COG1853
Energy production and conversion	NA	NA	Phycocyanin alpha chain, CpcA/CpeB	COG5687
Energy production and conversion	NA	NA	Succinate-acetate transporter SatP	COG1584
Energy production and conversion	NA	NA	Ni,Fe-hydrogenase maturation factor	COG0680
Energy production and conversion	Photosystem II	NA	Photosystem II reaction center protein Z, PsbZ/Ycf9	COG5735
Energy production and conversion	NA	NA	Cytochrome c1	COG2857
Energy production and conversion	NA	NA	NAD/NADP transhydrogenase beta subunit	COG1282
Energy production and conversion	TCA cycle	NA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	COG1053
Energy production and conversion	NA	NA	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit P	COG5695
Energy production and conversion	TCA cycle	NA	Isocitrate dehydrogenase	COG0538
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome c-type biogenesis protein CcmH/NrfG	COG4235
Energy production and conversion	NA	NA	Energy-converting hydrogenase Eha subunit A	COG4042
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Thiol-disulfide interchange protein, contains DsbC and DsbD domains	COG4233
Energy production and conversion	NA	NA	AIM24 protein, required for mitochondrial respiration	COG2013
Energy production and conversion	NA	NA	Membrane potential modulator PMP3/YqaE, plasma membrane proteolipid 3 (PMP3)/Esi3/RCI2/UPF0057 family	COG0401
Energy production and conversion; Coenzyme transport and metabolism	Ubiquinone biosynthesis	NA	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	COG0654
Energy production and conversion	NA	NA	Fumarate reductase subunit C	COG3029
Energy production and conversion	NA	NA	Cbb3-type cytochrome oxidase, subunit 3	COG4736
Energy production and conversion	NA	NA	NAD(P)H-nitrite reductase, large subunit	COG1251
Energy production and conversion	Photosystem I	NA	Photosystem I reaction center subunit XI, PsaL	COG5710
Energy production and conversion	Photosystem I	NA	Photosystem I reaction center subunit IX, PsaJ	COG5708
Energy production and conversion	Photosystem I	NA	Photosystem I assembly protein Ycf37, contains TPR repeats	COG5714
Energy production and conversion	NA	NA	Uncharacterized cyanobacterial/plant protein Pro1627, DUF3143 (PF11341) family	COG5789
Energy production and conversion	NA	NA	Carbon monoxide dehydrogenase subunit CoxG	COG3427
Energy production and conversion	NA	NA	Formate dehydrogenase assembly factor FdhD, a sulfurtransferase	COG1526
Energy production and conversion	NA	NA	Cyanobacterial/plant protein LPA3, possible role in PSII assembly, DUF1995 (PF09353) domain	COG5786
Energy production and conversion	FoF1-type ATP synthase	NA	FoF1-type ATP synthase subunit Atp1, cyanobacterial family	COG5756
Energy production and conversion	Pyruvate oxidation	NA	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	COG1071
Energy production and conversion	NA	NA	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit M	COG5672
Energy production and conversion	NA	NA	CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)	COG1456
Energy production and conversion	NA	NA	CO dehydrogenase/acetyl-CoA synthase alpha subunit	COG1152
Energy production and conversion; Lipid transport and metabolism; General function prediction only	Isoprenoid biosynthesis	NA	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	COG1304
Energy production and conversion	NA	NA	Formylmethanofuran dehydrogenase subunit D	COG1153
Energy production and conversion	NA	NA	Cytochrome b6f complex subunit V, PetG	COG5680
Energy production and conversion	NA	NA	Desulfoferrodoxin, superoxide reductase-like (SORL) domain	COG2033
Energy production and conversion; Signal transduction mechanisms	NA	NA	Bacteriorhodopsin	COG5524
Energy production and conversion	NA	NA	Citrate lyase, alpha subunit	COG3051
Energy production and conversion	FoF1-type ATP synthase	NA	FoF1-type ATP synthase AtpZ/Atp1/AtpQ subunit, putative Ca2+/Mg2+ transporter	COG5336
Energy production and conversion	NA	NA	Uncharacterized cyanobacterial/chloroplast membrane protein Ycf51, DUF2518 (PF10726) domain	COG5767
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)	COG0713
Energy production and conversion	FoF1-type ATP synthase	NA	FoF1-type ATP synthase, membrane subunit b or b'	COG0711
Energy production and conversion	NA	NA	Fe-S oxidoreductase, related to NifB/MoaA family	COG1625
Energy production and conversion	TCA cycle	NA	2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes	COG0567
Energy production and conversion	NA	NA	5,10-methenyltetrahydromethanopterin hydrogenase	COG4074
Energy production and conversion	Heme biosynthesis	NA	Flavodoxin	COG0716
Energy production and conversion	Lysine biosynthesisTCA cycle	NA	Aconitase A	COG1048
Energy production and conversion	NA	NA	Uncharacterized cyanobacterial/plant membrane protein Pro0765, DUF3082 (PF11282) domain	COG5773
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome b6 maturation protein CCB1	COG5774
Energy production and conversion	NA	NA	Bacterial PH (pleckstrin homology) domain	COG5776
Energy production and conversion	NA	NA	Thylakoid membrane protein DAC/CCR2, involved in assembly of b6/f complex and response to cold stress, DUF3007 (PF11460) family	COG5775
Energy production and conversion	A/V-type ATP synthase	NA	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7	COG1436
Energy production and conversion	NA	NA	Cytochrome c553	COG2863
Energy production and conversion	NA	NA	Photosystem II assembly factor PAM68, DUF3464 (PF11947) domain	COG5778
Energy production and conversion	NA	NA	Fe-S-cluster-containing dehydrogenase component (DMSO reductase)	COG0437
Energy production and conversion	Glycine cleavagePyruvate oxidation	NA	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase	COG1249
Energy production and conversion	Pyruvate oxidation	NA	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	COG0508
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome b6 maturation protein CCB2	COG5781
Energy production and conversion	NA	NA	NAD(P)H dehydrogenase cyanobacteria/chloroplast-specific subunit NdhV, DUF2996 (PF11210) domain	COG5782
Energy production and conversion	Pyruvate oxidation	NA	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	COG0022
Energy production and conversion	Photosystem I	NA	Photosystem I reaction center subunit X, PsaK	COG5709
Energy production and conversion	NA	NA	Zn-dependent alcohol/formaldehyde dehydrogenase	COG1062
Energy production and conversion	NA	NA	Cytochrome bd-type quinol oxidase, subunit 2	COG1294
Energy production and conversion	NA	NA	Soluble cytochrome b562	COG3783
Energy production and conversion	NA	NA	Cytochrome c556	COG3909
Energy production and conversion; Signal transduction mechanisms	NA	NA	Cyanobacterial/chloroplast protein SipA, regulator of sensor kinase NblS (Hik33), DUF3148 (PF11347) family	COG5788
Energy production and conversion	Na+-translocating NADH dehydrogenase	NA	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA	COG1726
Energy production and conversion	NA	NA	Formylmethanofuran dehydrogenase subunit B	COG1029
Energy production and conversion	NA	NA	Aldehyde:ferredoxin oxidoreductase	COG2414
Energy production and conversion	NA	NA	Hydroxylamine reductase (hybrid-cluster protein)	COG1151
Energy production and conversion	Pyrimidine degradation	NA	Nitroreductase	COG0778
Energy production and conversion	NA	NA	Na+(or H+)/acetate symporter ActP	COG4147
Energy production and conversion	NA	NA	NAD(P)H dehydrogenase cyanobacteria/chloroplast subunit O	COG5674
Energy production and conversion	NA	NA	Formylmethanofuran dehydrogenase subunit C	COG2218
Energy production and conversion	NA	NA	CO dehydrogenase/acetyl-CoA synthase beta subunit	COG1614
Energy production and conversion; Secondary metabolites biosynthesis, transport and catabolism	NA	NA	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM	COG4576
Energy production and conversion	Urea cycle	NA	Pyruvate carboxylase	COG1038
Energy production and conversion	NA	NA	Trans-aconitate methyltransferase	COG4106
Energy production and conversion	FoF1-type ATP synthase	NA	FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K	COG0636
Energy production and conversion	NA	NA	Formylmethanofuran dehydrogenase subunit A	COG1229
Energy production and conversion; Secondary metabolites biosynthesis, transport and catabolism	NA	NA	Carboxysome shell and ethanolamine utilization microcompartment protein CcmL/EutN	COG4577
Energy production and conversion	NA	NA	ATP/ADP translocase	COG3202
Energy production and conversion	NA	NA	Cytochrome b6f complex subunit VIII, PetN/Ycf6	COG5683
Energy production and conversion	NA	NA	Allophycocyanin beta chain	COG5685
Energy production and conversion; Lipid transport and metabolism	NA	NA	Cytochrome b involved in lipid metabolism	COG5274
Energy production and conversion	NA	NA	Phycocyanobilin lyase CpeS/CpcS (= Ycf58)	COG5690
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase subunit 2 (chain N)	COG1007
Energy production and conversion	NA	NA	Dehydrogenase (flavoprotein)	COG0644
Energy production and conversion; Posttranslational modification, protein turnover, chaperones	NA	NA	Cytochrome c biogenesis protein CcdC	COG4846
Energy production and conversion	Isoprenoid biosynthesis	NA	Glycerol-3-phosphate dehydrogenase	COG0240
Energy production and conversion	NA	NA	Heterodisulfide reductase, subunit B	COG2048
Energy production and conversion	NA	NA	Uncharacterized cyanobacterial/plant membrane protein Pro0498, contains N-terminal TPR repeats	COG5777
Energy production and conversion	NADH dehydrogenase	NA	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)	COG0649
Energy production and conversion	NA	NA	Energy-converting hydrogenase A subunit M	COG4084
Energy production and conversion	NA	NA	Quinol monooxygenase YgiN	COG1359
Energy production and conversion	NA	NA	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF	COG0247
Energy production and conversion	Photosystem I	NA	Photosystem I reaction center subunit IV, PsaE	COG5705
