#Level1	Level2	Level3	unknown	Pathway
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	pyruvate fermentation to butanoate	CENTFERM-PWY
Biosynthesis	Tetrapyrrole Biosynthesis	Porphyrin Compound Biosynthesis	chlorophyllide a biosynthesis I (aerobic, light-dependent)	CHLOROPHYLL-SYN
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Choline Degradation	choline degradation I	CHOLINE-BETAINE-ANA-PWY
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	L-citrulline biosynthesis	CITRULBIO-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Other Amino Acid Degradation	L-citrulline degradation	CITRULLINE-DEG-PWY
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	Generation of Precursor Metabolites and Energy	methanogenesis from methanol	CO2FORM-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	coenzyme A biosynthesis I	COA-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	coenzyme A biosynthesis II (mammalian)	COA-PWY-1
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	adenosylcobalamin salvage from cobinamide I	COBALSYN-PWY
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	CO2 Fixation	reductive acetyl coenzyme A pathway	CODH-PWY
Biosynthesis	Carbohydrate Biosynthesis	Superpathways	colanic acid building blocks biosynthesis	COLANSYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Superpathways	superpathway of aromatic amino acid biosynthesis	COMPLETE-ARO-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Creatinine Degradation	creatinine degradation I	CRNFORCAT-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	cyanate degradation	CYANCAT-PWY
Degradation/Utilization/Assimilation	Alcohol Degradation	unknow	cyclohexanol degradation	CYCLOHEXANOL-OXIDATION-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-cysteine degradation I	CYSTEINE-DEG-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-cysteine biosynthesis I	CYSTSYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-lysine biosynthesis I	DAPLYSINESYN-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	D-arabinose degradation II	DARABCAT-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	D-arabinose degradation I	DARABCATK12-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	D-arabitol degradation	DARABITOLUTIL-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	nitrate reduction I (denitrification)	DENITRIFICATION-PWY
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	superpathway of purine nucleotides de novo biosynthesis II	DENOVOPURINE2-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Sulfoaromatic Compound Degradation	benzenesulfonate degradation	DESULFONATION-PWY
Detoxification	Reactive Oxygen Species Degradation	unknow	superoxide radicals degradation	DETOX1-PWY
Detoxification	Reactive Oxygen Species Degradation	Superpathways	reactive oxygen species degradation	DETOX1-PWY-1
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	glucose degradation (oxidative)	DHGLUCONATE-PYR-CAT-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfate reduction IV (dissimilatory)	DISSULFRED-PWY
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	dTDP-L-rhamnose biosynthesis I	DTDPRHAMSYN-PWY
Biosynthesis	Cell Structure Biosynthesis	Glycan Biosynthesis	enterobacterial common antigen biosynthesis	ECASYN-PWY
Biosynthesis	Secondary Metabolite Biosynthesis	Siderophore and Metallophore Biosynthesis	enterobactin biosynthesis	ENTBACSYN-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	Entner-Doudoroff pathway I	ENTNER-DOUDOROFF-PWY
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Sterol Biosynthesis	superpathway of ergosterol biosynthesis I	ERGOSTEROL-SYN-PWY
Biosynthesis	Secondary Metabolite Biosynthesis	Hormone Biosynthesis	ethylene biosynthesis I (plants)	ETHYL-PWY
Degradation/Utilization/Assimilation	Alcohol Degradation	Ethanol Degradation	ethanol degradation I	ETOH-ACETYLCOA-ANA-PWY
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	fatty acid &beta,-oxidation I	FAO-PWY
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	fatty acid elongation -- saturated	FASYN-ELONG-PWY
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	superpathway of fatty acid biosynthesis initiation (E. coli)	FASYN-INITIAL-PWY
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	mixed acid fermentation	FERMENTATION-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfur oxidation II (Fe+3-dependent)	FESULFOX-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Fluorene Degradation	fluorene degradation I	FLUORENE-DEG-9-ONE-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	superpathway of tetrahydrofolate biosynthesis and salvage	FOLSYN-PWY
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	Formaldehyde Oxidation	formaldehyde oxidation IV (thiol-independent)	FORMASS-PWY
Superpathways	Superpathways	unknow	superpathway of fucose and rhamnose degradation	FUC-RHAMCAT-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	fucose degradation	FUCCAT-PWY
Superpathways	Superpathways	unknow	superpathway of hexuronide and hexuronate degradation	GALACT-GLUCUROCAT-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-galactarate degradation I	GALACTARDEG-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-galactonate degradation	GALACTCAT-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	galactitol degradation	GALACTITOLCAT-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-galacturonate degradation I	GALACTUROCAT-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	galactose degradation II	GALDEG-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Gallate Degradation	gallate degradation II	GALLATE-DEGRADATION-I-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Gallate Degradation	gallate degradation I	GALLATE-DEGRADATION-II-PWY
Degradation/Utilization/Assimilation	Chlorinated Compound Degradation	unknow	&gamma,-hexachlorocyclohexane degradation	GAMMAHEXCHLORDEG-PWY
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	GDP-D-rhamnose biosynthesis	GDPRHAMSYN-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Superpathways	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	GLCMANNANAUT-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-glutamine biosynthesis I	GLNSYN-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	N-acetylglucosamine degradation	N-acetylglucosamine degradation I	GLUAMCAT-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	D-glucarate degradation I	GLUCARDEG-PWY
Superpathways	Superpathways	unknow	superpathway of D-glucarate and D-galactarate degradation	GLUCARGALACTSUPER-PWY
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	gluconeogenesis I	GLUCONEO-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	unknow	D-gluconate degradation	GLUCONSUPER-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	glucose and glucose-1-phosphate degradation	GLUCOSE1PMETAB-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	superpathway of &beta,-D-glucuronide and D-glucuronate degradation	GLUCUROCAT-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	4-Aminobutanoate Degradation	GABA shunt	GLUDEG-I-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-glutamate degradation VII (to butanoate)	GLUDEG-II-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-glutamate biosynthesis IV	GLUGLNSYN-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	glutathione redox reactions II	GLUT-REDOX-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-glutamate degradation I	GLUTAMATE-DEG1-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-glutamate biosynthesis II	GLUTAMATE-SYN2-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-glutamine degradation I	GLUTAMINDEG-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-glutamine degradation II	GLUTAMINEFUM-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	glutathione biosynthesis	GLUTATHIONESYN-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-glutamate degradation II	GLUTDEG-PWY
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	L-ornithine biosynthesis	GLUTORN-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-glutamate biosynthesis I	GLUTSYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-glutamate biosynthesis III	GLUTSYNIII-PWY
Degradation/Utilization/Assimilation	Alcohol Degradation	Glycerol Degradation	glycerol degradation V	GLYCEROLMETAB-PWY
Biosynthesis	Amine and Polyamine Biosynthesis	Degradation/Utilization/Assimilation	creatine biosynthesis	GLYCGREAT-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	glycine biosynthesis II	GLYCINE-SYN2-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	glycine cleavage	GLYCLEAV-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	glycogen degradation I (bacterial)	GLYCOCAT-PWY
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	glycogen biosynthesis I (from ADP-D-Glucose)	GLYCOGENSYNTH-PWY
Degradation/Utilization/Assimilation	Alcohol Degradation	Superpathways	superpathway of glycol metabolism and degradation	GLYCOL-GLYOXDEG-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Glycolate Degradation	glycolate and glyoxylate degradation I	GLYCOLATEMET-PWY
Generation of Precursor Metabolites and Energy	Glycolysis	unknow	glycolysis I (from glucose 6-phosphate)	GLYCOLYSIS
Generation of Precursor Metabolites and Energy	Superpathways	unknow	superpathway of glycolysis and Entner-Doudoroff	GLYCOLYSIS-E-D
Generation of Precursor Metabolites and Energy	Superpathways	unknow	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	GLYCOLYSIS-TCA-GLYOX-BYPASS
Degradation/Utilization/Assimilation	Carboxylate Degradation	Glycolate Degradation	glycolate and glyoxylate degradation II	GLYOXDEG-PWY
Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	unknow	glyoxylate cycle	GLYOXYLATE-BYPASS
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	glycine biosynthesis III	GLYSYN-ALA-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	glycine biosynthesis I	GLYSYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	glycine biosynthesis IV	GLYSYN-THR-PWY
Degradation/Utilization/Assimilation	Alcohol Degradation	Glycerol Degradation	superpathway of glycerol degradation to 1,3-propanediol	GOLPDLCAT-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Phenolic Compound Degradation	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	HCAMHPDEG-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	heme biosynthesis I (aerobic)	HEME-BIOSYNTHESIS-II
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	heme biosynthesis II (anaerobic)	HEMESYN2-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	superpathway of hexitol degradation (bacteria)	HEXITOLDEGSUPER-PWY
Biosynthesis	Polyprenyl Biosynthesis	All-trans Polyprenyl Biosynthesis	hexaprenyl diphosphate biosynthesis	HEXPPSYN-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-histidine degradation I	HISDEG-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-histidine degradation VI	HISHP-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-histidine degradation IV	HISTDEG-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-histidine biosynthesis	HISTSYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-cysteine biosynthesis III (from L-homocysteine)	HOMOCYSDEGR-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-methionine biosynthesis I	HOMOSER-METSYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-threonine biosynthesis	HOMOSER-THRESYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	L-homoserine biosynthesis	HOMOSERSYN-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-methionine biosynthesis III	HSERMETANA-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Other Amino Acid Degradation	trans-4-hydroxy-L-proline degradation I	HYDROXYPRODEG-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	L-idonate degradation	IDNCAT-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-isoleucine degradation I	ILEUDEG-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Lipopolysaccharide Biosynthesis	(Kdo)2-lipid A biosynthesis I	KDO-LIPASYN-PWY
Biosynthesis	Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis	superpathway of (Kdo)2-lipid A biosynthesis	KDO-NAGLIPASYN-PWY
Biosynthesis	Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis	Kdo transfer to lipid IVA I	KDOSYN-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Sugar Acid Degradation	ketogluconate metabolism	KETOGLUCONMET-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	lactose and galactose degradation I	LACTOSECAT-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	lactose degradation II	LACTOSEUTIL-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	xylitol degradation	LARABITOLUTIL-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-cysteine degradation II	LCYSDEG-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-leucine degradation I	LEU-DEG2-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-leucine biosynthesis	LEUSYN-PWY
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	Lipid A-core biosynthesis	LIPA-CORESYN-PWY
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	unknow	triacylglycerol degradation	LIPAS-PWY
Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation	Metabolic Clusters	phospholipases	LIPASYN-PWY
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Superpathways	superpathway of lipopolysaccharide biosynthesis	LPSSYN-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation III	LYSDEGII-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-lysine biosynthesis IV	LYSINE-AMINOAD-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation XI (mammalian)	LYSINE-DEG1-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	L-lyxose degradation	LYXMET-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	m-cresol degradation	M-CRESOL-DEGRADATION-PWY
Generation of Precursor Metabolites and Energy	Other	unknow	L-aspartate degradation II	MALATE-ASPARTATE-SHUTTLE-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	maltose degradation	MALTOSECAT-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	D-mannose degradation	MANNCAT-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	mannitol degradation I	MANNIDEG-PWY
